id;name;surname;age;group
0;Sea;Boy;13
1;Alyss;Bryan;19
2;Set;Foste;13
3;Susa;Ree;16
4;Arian;Hamilto;10
5;Abraha;Jenkin;10
6;Anthon;Olso;17
7;Sophi;Robinso;14
8;Amand;Torre;20
9;Set;Powel;17
10;Ada;Nguye;13
11;Savanna;Bryan;12
12;Kately;Mill;11
13;Alexandr;Collin;10
14;Anthon;Schmid;10
15;Anthon;Griffi;13
16;Devi;Castill;13
17;Katherin;Warre;15
18;Aida;Olso;11
19;Alber;Butle;19
20;Alyss;Anderso;12
21;Aida;Reye;16
22;Kimberl;Richardso;13
23;Sara;Snyde;10
24;Austi;Meye;13
25;Dieg;Evan;12
26;Dieg;Owen;11
27;Alexande;Harriso;13
28;Kathry;Campbel;13
29;Dougla;Thoma;14
30;Ashle;Ree;15
31;Autum;Fo;19
32;Denni;Sander;20
33;Kimberl;Kin;16
34;Susa;Pric;13
35;Alexande;Henderso;18
36;Danie;Porte;16
37;Aaro;Hamilto;15
38;Sharo;Garci;10
39;Sandr;Alexande;14
40;Alexi;Murph;13
41;Domini;Jackso;10
42;Alyss;Lewi;19
43;Kimberl;Smit;20
44;Savanna;Gonzale;19
45;Kimberl;Henr;9
46;Sandr;River;17
47;Abraha;Nelso;11
48;Kately;Adam;18
49;Alejandr;Herrer;15
50;Av;Coo;15
51;Andre;Olso;12
52;Kayle;Gutierre;9
53;Samue;Alexande;16
54;Simo;Rodrigue;14
55;Autum;Bel;9
56;Arian;Bel;14
57;Kimberl;Anderso;12
58;Alexandr;Burn;14
59;Andre;War;12
60;Ala;Fo;14
61;Samue;Smit;16
62;Set;Alle;16
63;Sybi;Anderso;19
64;Alexande;Col;16
65;Antoni;Clar;9
66;Domini;Romer;9
67;Anthon;Kin;13
68;Sheil;Harriso;11
69;Autum;Alle;13
70;Ange;Colema;10
71;Sharo;Kin;10
72;Kately;Robert;11
73;Sofi;Kell;19
74;Aver;Fishe;11
75;Alex;Nichol;19
76;Angelin;Nichol;15
77;Alejandr;Coope;20
78;Alliso;Woo;15
79;Arian;Morri;16
80;Simo;Ki;17
81;Denni;Ree;13
82;Alexande;Butle;18
83;Alejandr;Gutierre;20
84;Anthon;Ric;10
85;Antoni;Lope;19
86;Shirle;Thoma;18
87;Sophi;Hun;16
88;Anit;Torre;12
89;Sara;Anderso;11
90;Alex;Johnso;20
91;Aver;Sulliva;10
92;Antoni;Dixo;12
93;Kathry;Patterso;18
94;Alexande;Adam;14
95;Kyli;Alexande;14
96;Ad;Martine;9
97;Donal;Coo;9
98;Amand;Carte;20
99;Adelin;Romer;12
100;Ashle;Medin;16
101;Alejandr;Dixo;9
102;Stanle;Pate;9
103;Ada;War;13
104;Ambe;Sanche;10
105;Aida;Pate;15
106;Agath;Freema;9
107;Sara;Pric;11
108;Agath;Jone;19
109;Dieg;Porte;16
110;Audre;Harri;19
111;Sybi;Smit;12
112;Simo;Tucke;20
113;Sybi;Palme;9
114;Sophi;Alle;14
115;Adelin;Wood;9
116;Stanle;War;16
117;Alexi;Johnso;13
118;Susa;Campbel;14
119;Austi;Gra;9
120;Alliso;Turne;18
121;Ariann;Hil;9
122;Sandr;Castill;19
123;Savanna;Rya;17
124;Audre;Jimene;10
125;Audre;Hun;14
126;Ange;Pere;16
127;Abraha;Parke;18
128;Danie;Morri;17
129;Alejandr;Hil;13
130;Ambe;Reye;10
131;Sierr;Taylo;19
132;Ala;Orti;13
133;Samue;Meye;13
134;Alliso;Col;9
135;Alis;Gonzale;19
136;Dieg;Youn;9
137;Domini;Haye;10
138;Simo;Lope;20
139;Angelin;Dia;20
140;Sar;Perr;10
141;Anthon;Bennet;17
142;Sara;Brow;17
143;Alexi;Murra;18
144;Sandr;Harri;20
145;Sybi;Lewi;19
146;Danie;Evan;13
147;Adelin;Jone;17
148;Danie;Tucke;18
149;Alex;Dixo;10
150;Alliso;Dia;18
151;Ange;Morga;17
152;Anit;Romer;13
153;Kathry;Web;17
154;Dieg;Richardso;20
155;Set;Garci;11
156;Aaro;Scot;10
157;Austi;Nelso;15
158;Kathry;Brow;13
159;Kately;Alle;14
160;Simo;Harri;10
161;Alfre;Myer;20
162;Aver;Simmon;17
163;Savanna;Moor;19
164;Savanna;Robert;15
165;Kyli;Wood;17
166;Domini;Foste;12
167;Sebastia;Richardso;15
168;Av;Crawfor;15
169;Ad;Schmid;10
170;Ameli;Johnso;19
171;Ad;Owen;12
172;Ariann;Ree;16
173;Kayl;Castill;14
174;Ameli;Well;12
175;Aida;Stewar;18
176;Alex;Evan;13
177;Ada;Wood;17
178;Arian;Kin;10
179;Aver;Sanche;19
180;Donal;Le;10
181;Kately;Warre;19
182;Antoni;Nelso;14
183;Alliso;Carte;19
184;Set;Powel;15
185;Simo;Medin;15
186;Ala;Schmid;9
187;Dieg;Carte;17
188;Kately;Richardso;15
189;Alliso;Parke;18
